1661789313.0912495 [INFO] [launch]: All log files can be found below /home/ren/.ros/log/2022-08-29-16-08-33-088879-ren-G3-3590-185
1661789313.0914586 [INFO] [launch]: Default logging verbosity is set to INFO
1661789313.4219894 [INFO] [gzserver-1]: process started with pid [187]
1661789334.8429205 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789334.8740048 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789334.9043536 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789334.9355361 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789334.9657667 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789334.9958174 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789335.0260897 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789335.0569928 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789335.2863154 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789335.7864327 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789335.8184216 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789335.8318973 [ERROR] [gzserver-1]: process[gzserver-1] failed to terminate '10.0' seconds after receiving 'SIGTERM', escalating to 'SIGKILL'
1661789335.8373103 [INFO] [gzserver-1]: sending signal 'SIGKILL' to process[gzserver-1]
1661789335.8480532 [WARNING] [launch]: user interrupted with ctrl-c (SIGINT) again, ignoring...
1661789335.8788645 [ERROR] [gzserver-1]: process has died [pid 187, exit code -9, cmd 'gzserver -s libgazebo_ros_init.so /home/ren/colcon_ws/install/nav2_bringup/share/nav2_bringup/worlds/waffle.model'].
